Пост мониторинга,Период,NO2,O3,H2S,CO,SO2,"Температура, °С","Давление, мм рт. ст.","Влажность, %","Скорость ветра, м/с","Направление ветра, °"
Площадка 21 414,2025-04-23 12:20:00,36.8820000000,34.7720000000,0.3110000000,374.5510000000,0.5150000000,18.2100000000,757.2097708389,49.1000000000,0.3440000000,70.8500000000
Площадка 21 414,2025-04-23 12:40:00,37.7220000000,37.6120000000,0.3030000000,381.9700000000,0.4110000000,18.6300000000,756.9697511004,48.0200000000,0.7040000000,60.7500000000
Площадка 21 414,2025-04-23 13:00:00,39.7720000000,37.9970000000,0.3910000000,377.3180000000,0.4240000000,19.1300000000,756.7897362965,46.5900000000,0.7630000000,85.4000000000
Площадка 21 414,2025-04-23 13:20:00,42.7200000000,39.1580000000,0.3260000000,375.5750000000,0.4820000000,19.3150000000,756.6172221094,45.4400000000,0.8390000000,97.9000000000
Площадка 21 414,2025-04-23 13:40:00,44.1150000000,41.1970000000,0.3070000000,370.0810000000,0.5890000000,19.5900000000,756.4372073055,44.4150000000,0.9390000000,79.6000000000
Площадка 21 414,2025-04-23 14:00:00,47.6150000000,44.0920000000,0.3340000000,379.3770000000,0.4720000000,19.8650000000,756.2571925015,43.9900000000,0.4980000000,83.7500000000
Площадка 21 414,2025-04-23 14:20:00,50.9040000000,49.7220000000,0.3740000000,371.2410000000,0.5370000000,19.9300000000,756.0921789313,43.9900000000,0.9170000000,104.0000000000
Площадка 21 414,2025-04-23 14:40:00,55.4250000000,53.5920000000,0.4160000000,376.4600000000,0.5300000000,19.9550000000,755.9496672115,43.7250000000,0.9570000000,118.9000000000
Площадка 21 414,2025-04-23 15:00:00,58.3710000000,54.0400000000,0.3120000000,378.4060000000,0.5150000000,19.3100000000,755.8146561086,44.8400000000,0.8390000000,111.7000000000
Площадка 21 414,2025-04-23 15:20:00,60.2580000000,53.2020000000,0.4230000000,387.6470000000,0.5180000000,19.1150000000,755.6946462393,45.3850000000,0.4200000000,99.9000000000
Площадка 21 414,2025-04-23 15:40:00,59.6200000000,51.0830000000,0.3630000000,390.3820000000,0.3830000000,18.2300000000,755.5146314354,47.4700000000,0.6890000000,98.6000000000
Площадка 21 414,2025-04-23 16:00:00,57.0220000000,49.2380000000,0.4220000000,392.4210000000,0.4850000000,17.6100000000,755.3721197156,49.0900000000,0.5490000000,102.6000000000
Площадка 21 414,2025-04-23 16:20:00,57.4240000000,43.5520000000,0.3730000000,413.7900000000,0.4750000000,16.8950000000,755.3121147810,50.9700000000,0.1580000000,86.2000000000
Площадка 21 414,2025-04-23 16:40:00,57.0150000000,41.8180000000,0.3110000000,404.9920000000,0.6300000000,16.0200000000,755.2596104631,53.4400000000,0.1500000000,90.2500000000
Площадка 21 414,2025-04-23 17:00:00,53.4980000000,37.3510000000,0.3520000000,402.0560000000,0.4990000000,15.2300000000,755.2146067622,56.1350000000,0.1500000000,98.4000000000
Площадка 21 414,2025-04-23 17:20:00,50.0940000000,32.6370000000,0.4030000000,419.4710000000,0.4250000000,14.4500000000,755.1621024444,58.9750000000,0.1500000000,98.2500000000
Площадка 21 414,2025-04-23 17:40:00,50.6030000000,27.6800000000,5.0650000000,488.3490000000,0.6190000000,13.9250000000,755.1095981265,60.5900000000,0.1500000000,98.1500000000
